date,stamp,pitch_mhz,T_s,applied_df_hz,frozen_delta_mhz,frozen_spread_mhz,frozen_rim_n,legacy_delta_mhz,legacy_total_mhz,legacy_spread1_mhz,legacy_spreadc_mhz,legacy_n,legacy_score,adaptive_delta_mhz,adaptive_total_mhz,adaptive_spread1_mhz,adaptive_spreadc_mhz,adaptive_n,adaptive_score
2025-09-16,13_55_52,5.446,34.0,-0.02869262325778224,11.85,-15.26,427,11.63,-17.07,-15.28,-16.51,429,3.2676,9.06,-19.63,-14.7,-15.8,376,3.2315
2025-09-16,13_57_38,5.47,34.0,-0.24417842542627158,43.28,26.29,183,43.37,-200.8,26.54,28.1,206,3.2515,84.38,-159.8,42.05,43.6,227,3.3143
2025-09-16,13_58_31,5.477,34.0,-0.06037928419000992,38.57,-8.7,422,38.69,-21.69,-8.41,-14.92,420,3.3643,2.21,-58.17,18.98,16.62,379,3.3533
2025-09-16,13_59_25,5.444,34.0,0.009008048658540815,-25.29,-22.29,412,-25.05,-16.04,-22.3,-21.14,407,2.8496,-30.51,-21.5,-20.97,-18.3,376,2.8787
2025-09-16,14_00_20,5.494,34.0,-0.10107695653285238,79.01,15.64,271,78.05,-23.03,16.42,-15.41,408,3.5277,60.81,-40.26,39.89,-10.08,376,3.353
2025-09-16,14_06_11,5.539,34.0,-0.09125144892848223,64.15,8.67,337,64.39,-26.87,8.25,-15.21,409,3.1487,19.62,-71.63,38.24,19.39,356,3.2637
